id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,急性肝淤血的病理变化有____ A. 肝细胞脂肪变性 B. 肝小叶中央静脉和肝窦扩张 C. 肝细胞胞质可见多个脂肪空泡 D. 槟榔肝 答案：,,B,,B,llama-7b-hf,699,697,2,0.0,0.1
1,0,下列哪种为恶性肿瘤____ A. 纤维腺瘤 B. 畸胎瘤 C. 混合瘤 D. 霍奇金病 答案：,,B,,B,llama-7b-hf,646,644,2,0.0,0.09
2,0,不涉及第二信使的细胞信息传递途径是____ A. PKA途径 B. PKC途径 C. PKC途径 D. TPK途径 答案：,,B,,B,llama-7b-hf,650,648,2,0.0,0.09
3,0,白色血栓主要发生的组织部位是____ A. 毛细血管 B. 静脉瓣膜 C. 动脉管壁 D. 心瓣膜 答案：,,B,,B,llama-7b-hf,650,648,2,0.0,0.09
4,0,Rb基因是一种____ A. 细胞原癌基因 B. 抑癌基因 C. 病毒癌基因 D. 操纵子调节基因 答案：,,B,,B,llama-7b-hf,640,638,2,0.0,0.08
5,0,肉眼不可见，镜下可见的透明血栓的成分是____ A. 红细胞 B. 血小板+纤维蛋白 C. 血小板 D. 纤维蛋白 答案：,,C,,C,llama-7b-hf,670,668,2,0.0,0.09
6,0,通过膜受体起调节作用的激素是____ A. 性激素 B. 糖皮质激素 C. 甲状腺索 D. 肾上腺素 答案：,,B,,B,llama-7b-hf,645,643,2,0.0,0.09
7,0,下列关于建立cDNA文库的叙述，错误的是____ A. 需要从特定组织或细胞中提取DNA B. 需要从特定组织或细胞中提取RNA C. 需要由逆转录酶催化合成与mRNAN补的单链DNA D. 需要以新合成的单链DNA为模板合成双链DNA 答案：,,C,,C,llama-7b-hf,718,716,2,0.0,0.09
8,0,非蛋白氮中含量最多的含氮物是____ A. 尿素 B. 氨基酸 C. 肌酐 D. 尿酸 答案：,,B,,B,llama-7b-hf,640,638,2,0.0,0.08
9,0,乳酸脱氢酶的辅酶含____ A. 亚铁血红素 B. 烟酰胺 C. 磷酸吡哆醛 D. 黄素腺嘌呤 答案：,,C,,C,llama-7b-hf,664,662,2,0.0,0.09
10,0,关于原癌基因特点的叙述，下列哪项是错误的____ A. 存在于正常真核生物基因组中 B. 基因序列高度保守 C. 其作用通过表达产物来实现 D. 所有原癌基因都有致癌性 答案：,,B,,B,llama-7b-hf,677,675,2,0.0,0.09
11,0,中晚期食管癌的最常见肉眼类型有____ A. 蕈伞型 B. 髓质型 C. 溃疡型 D. 缩窄型 答案：,,B,,B,llama-7b-hf,646,644,2,0.0,0.09
12,0,下列选项中，不符合黏膜相关淋巴组织淋巴瘤叙述的是____ A. 占NHL的7～8％ B. 胃肠黏膜最常受累 C. 高度恶性 D. 滤泡性淋巴瘤 答案：,,B,,B,llama-7b-hf,685,683,2,0.0,0.09
13,0,下列选项中，符合肿瘤的异质性概念的是____ A. 肿瘤细胞的大小 B. 肿瘤细胞核染色深浅不一 C. 肿瘤细胞形成具有不同侵袭特性的细胞亚群 D. 肿瘤细胞起源于不同的细胞亚群 答案：,,C,,C,llama-7b-hf,730,728,2,0.0,0.09
14,0,子宫内膜增生期与卵巢和垂体的关系是____ A. 垂体分泌LH，卵巢内卵泡生长 B. 垂体分泌FSH，卵巢内卵泡生长发育 C. 垂体分泌FSH，卵巢内黄体发育 D. 垂体分泌FSH，卵巢内卵泡退化 答案：,,B,,B,llama-7b-hf,726,724,2,0.0,0.09
15,0,下列肝细胞坏死的病变中，急性重型肝炎的特征性病变是____ A. 桥接坏死 B. 大片坏死 C. 点状坏死 D. 碎片坏死 答案：,,B,,B,llama-7b-hf,664,662,2,0.0,0.09
16,0,下列哪种不是肝在脂类代谢中的特有作用____ A. 酮体的生成 B. LDL的生成 C. VLDL的生成 D. 胆汁酸的生成 答案：,,B,,B,llama-7b-hf,647,645,2,0.0,0.09
17,0,正常人在肝合成血浆蛋白质，量最多的是____ A. 纤维蛋白原 B. 凝血酶原 C. 清蛋白 D. 球蛋白 答案：,,B,,B,llama-7b-hf,652,650,2,0.0,0.09
18,0,表皮生长因子的信号转导通路与下列哪种物质有关____ A. 受体型酪氨酸蛋白激酶 B. G蛋白耦联受体 C. 腺苷酸环化酶 D. cGMP 答案：,,B,,B,llama-7b-hf,675,673,2,0.0,0.09
19,0,肉芽组织的结局是____ A. 填补缺损 B. 纤维化 C. 抗感染 D. 能产生细胞外基质 答案：,,B,,B,llama-7b-hf,651,649,2,0.0,0.09
20,0,下列哪组物质属于初级胆汁酸____ A. 胆酸，脱氧胆酸 B. 甘氨胆酸，石胆酸 C. 牛磺胆酸，脱氧胆酸 D. 甘氨鹅脱氧胆酸，牛磺鹅脱氧胆酸 答案：,,C,,C,llama-7b-hf,725,723,2,0.0,0.1
21,0,支气管黏膜上皮出现鳞状上皮化生，常属于下列哪一种改变____ A. 分化不良 B. 不典型增生 C. 不完全再生 D. 适应性改变 答案：,,C,,C,llama-7b-hf,656,654,2,0.0,0.09
22,0,直接使子宫内馍发生月经周期变化的激素是____ A. 松弛素 B. 雄激素 C. 雌激素和孕激素 D. LH 答案：,,C,,C,llama-7b-hf,644,642,2,0.0,0.09
