id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,组成一个运算器需要多个部件，但下面所列____不是组成运算器的部件。 A. 通用寄存器组 B. 数据总线 C. ALU D. 地址寄存器 答案：,,D,,D,llama-7b-hf,951,949,2,0.0,0.15
1,0,在哪种结构的运算器中需要在ALU的两个输入端加上两个缓冲寄存器____? A. 单总线结构 B. 双总线结构 C. 三总线结构 D. 都需要加 答案：,,B,,B,llama-7b-hf,963,961,2,0.0,0.15
2,0,在补码表示的机器中若寄存器A中存放数9EH，经过一次____运算它可以变为CFH。 A. 算术左移 B. 逻辑左移 C. 算术右移 D. 逻辑右移 答案：,,B,,B,llama-7b-hf,967,965,2,0.0,0.14
3,0,在中断周期，CPU主要完成以下工作____。 A. 关中断，保护断点，发中断响应信号并形成中断服务程序入口地址 B. 开中断，保护断点，发中断响应信号并形成中断服务程序入口地址 C. 关中断，执行中断服务程序 D. 开中断，执行中断服务程序 答案：,,B,,B,llama-7b-hf,1008,1006,2,0.0,0.14
4,0,下面关于多周期_CPU_的描述，正确的是____。 A. 指令周期长度固定 B. 每个机器周期可完成一条指令 C. 多个机器周期完成一条指令 D. 其控制器只用组合逻辑电路就能实现 答案：,,B,,B,llama-7b-hf,976,974,2,0.0,0.13
5,0,下面关于并行传输的叙述中，不正确的是____。 A. 并行总线的数据在数据线上同时有多位一起传送 B. 并行传输每一位要有一根数据线，因此有多根数据线 C. 衡量并行总线速度的指标是平均数据传输率，即总线上传输的平均信息量 D. 为了减少线路的数量，可以将并行方式和串行方式结合起来 答案：,,B,,B,llama-7b-hf,1040,1038,2,0.0,0.16
6,0,下列部件中不属于执行部件的是____。 A. 控制器 B. 存储器 C. 运算器 D. 外部设备 答案：,,B,,B,llama-7b-hf,931,929,2,0.0,0.14
7,0,间址寻址第一次访问内存所得到的信息经____传送到MDR。 A. 数据总线 B. 地址总线 C. 控制总线 D. 总线控制器 答案：,,B,,B,llama-7b-hf,950,948,2,0.0,0.13
8,0,设置中断屏蔽字可以动态地改变____优先级。 A. 中断查询 B. 中断响应 C. 中断处理 D. 中断返回 答案：,,C,,C,llama-7b-hf,943,941,2,0.0,0.14
9,0,下列关于Cache与TLB的描述中，哪个说法是错误的____ A. TLB与Cache中保存的数据是不同的 B. TLB 缺失之后，有可能直接在Cache中找到页表内容 C. TLB 缺失会导致程序执行出错，但是Cache 缺失不会 D. TLB和Cache的命中率都与程序的访存模式有关 答案：,,B,,B,llama-7b-hf,1022,1020,2,0.0,0.13
10,0,下列哪种情况出现时，会引起CPU自动查询有无中断请求，进而可能进入中断响应周期____。 A. 一条指令执行结束 B. 一次I/O操作结束 C. 一次中断处理结束 D. 一次DMA操作结束 答案：,,C,,C,llama-7b-hf,987,985,2,0.0,0.14
11,0,以下哪个不是Von_Neumann结构____ A. ENIAC B. IBM 360 C. PDP-1 D. Pentium 答案：,,B,,B,llama-7b-hf,922,920,2,0.0,0.12
12,0,下列有关指令和微指令之间关系的描述中，正确的是____。 A. 一条指令的功能通过执行一条微指令来实现 B. 一条指令的功能通过执行一个微程序来实现 C. 一条微指令的功能通过执行一条指令来实现 D. 一条微指令的功能通过执行一个微程序来实现 答案：,,B,,B,llama-7b-hf,1010,1008,2,0.0,0.13
13,0,下列关于CISC/RISC的叙述中，错误的是____。 A. RISC机器指令比CISC机器指令简单 B. RISC中通用寄存器比CISC多 C. RISC中的寻址方式比CISC少 D. CISC比RISC机器可以更好地支持高级语言 答案：,,D,,D,llama-7b-hf,993,991,2,0.0,0.14
14,0,下列编码中，不用于表示字符的是____。 A. BCD B. EBCDIC C. Unicode D. ASCII 答案：,,B,,B,llama-7b-hf,917,915,2,0.0,0.14
15,0,设浮点数阶的基数为8，尾数用模4补码表示。试指出下列浮点数中____是规格化数。 A. 11.111 B. 0.000111 C. 11.10101 D. 0.111101 答案：,,B,,B,llama-7b-hf,973,971,2,0.0,0.14
16,0,某一编码系统中，数据为8位。为提高系统的可靠性，希望能发现2位出错，并能在仅有1位出错时进行纠正，则需要增加的校验位的位数至少是____。 A. 3 位 B. 4 位 C. 5 位 D. 6 位 答案：,,B,,B,llama-7b-hf,988,986,2,0.0,0.13
17,0,用二地址指令来完成算术运算时，其结果一般存放在____。 A. 其中一个地址码提供的地址中 B. 栈顶 C. 累加器(ACC)中 D. 以上都不对 答案：,,B,,B,llama-7b-hf,961,959,2,0.0,0.14
18,0,指令寄存器的位数取决于____。 A. 存储器的容量 B. 指令字长 C. 机器字长 D. 存储字长 答案：,,B,,B,llama-7b-hf,935,933,2,0.0,0.14
19,0,中断屏蔽字的作用是____。 A. 暂停外设对主存的访问 B. 暂停对某些中断源的处理 C. 暂停对一切中断的处理 D. 暂停CPU对主存的访问 答案：,,B,,B,llama-7b-hf,974,972,2,0.0,0.13
20,0,如果一个存储单元被访问，那么可能这个存储单元会很快地再次被访问，这称为____。 A. 时间局部性 B. 空间局部性 C. 程序局部性 D. 数据局部性 答案：,,B,,B,llama-7b-hf,965,963,2,0.0,0.14
21,0,某磁盘的转速为10000转/分，平均寻道时间是6ms，磁盘传输速率是20MB/s，磁盘控制器延迟为0.2ms，读取一个4KB的扇区所需平均时间约为____。 A. 9ms B. 9.4ms C. 12ms D. 12.4ms 答案：,,B,,B,llama-7b-hf,1013,1011,2,0.0,0.14
22,0,微程序控制器中，机器指令与微指令的关系是____。 A. 每一段机器指令组成的程序由一条微指令来执行 B. 每一条机器指令由一段微指令组成的微程序解释执行 C. 每一条机器指令由一条微指令来执行 D. 每一条微指令由若干条机器指令解释执行 答案：,,B,,B,llama-7b-hf,1010,1008,2,0.0,0.13
23,0,在下列寻址中，____寻址方式需要先运算再访问主存。 A. 立即 B. 变址 C. 间接 D. 直接 答案：,,B,,B,llama-7b-hf,935,933,2,0.0,0.14
24,0,数据寻址计算的是指令操作数的地址。下列寻址方式中，寻址得到的结果不是数据的是____。 A. 间接寻址 B. 基址寻址 C. 相对寻址 D. 变址寻址 答案：,,B,,B,llama-7b-hf,966,964,2,0.0,0.13
25,0,中断向量表中保存的是____。 A. 被中断程序的返回地址 B. 中断服务程序入口地址 C. 中断优先级 D. 中断源编码 答案：,,B,,B,llama-7b-hf,942,940,2,0.0,0.13
26,0,已知CRC校验的一个数据字为：100101011001B，设采用的生成多项式为：$G(x)=x^2+1$，则校验码为____。 A. 0011B B. 0010B C. 011B D. 010B 答案：,,B,,B,llama-7b-hf,978,976,2,0.0,0.13
27,0,相对寻址方式中，若取出指令后立即将PC的内容加1(或加增量)，则指令所提供的相对地址实质上是一种____。 A. 立即数 B. 内存地址 C. 以本条指令在内存中首地址为基准位置的偏移量 D. 以下一条指令在内存中首地址为基准位置的偏移量 答案：,,B,,B,llama-7b-hf,1015,1013,2,0.0,0.14
28,0,指令流水线中，不同的指令在指令流水的不同功能段中可以____。 A. 顺序 B. 选择 C. 循环 D. 并行 答案：,,B,,B,llama-7b-hf,940,938,2,0.0,0.13
29,0,指令系统中采用不同寻址方式的目的是____。 A. 实现存储程序和程序控制 B. 缩短指令长度，扩大寻址空间，提高编程灵活性 C. 可以直接访问外存 D. 提供扩展操作码的可能性并降低指令译码难度 答案：,,B,,B,llama-7b-hf,1005,1003,2,0.0,0.14
30,0,微操作信号发生器的设计与下列因素____基本无关。 A. CPU寄存器数量 B. 指令系统 C. 数据通路 D. 机器字长 答案：,,B,,B,llama-7b-hf,937,935,2,0.0,0.14
31,0,DRAM地址分两次输入(行选通RAS、列选通CAS)的目的是____。 A. 提高速度 B. 减少芯片引出线 C. 刷新 D. 电平需要 答案：,,B,,B,llama-7b-hf,947,945,2,0.0,0.14
32,0,下列关于单地址指令的说法中，正确的是____。 A. 只能对单操作数进行加工处理 B. 只能对双操作数进行加工处理 C. 无处理双操作数的功能 D. 既能对单操作数进行加工处理，也能对双操作数进行运算 答案：,,B,,B,llama-7b-hf,979,977,2,0.0,0.14
33,0,32位的个人计算机中，一个字节由____位组成。 A. 4 B. 8 C. 16 D. 32 答案：,,A,,A,llama-7b-hf,923,921,2,0.0,0.14
34,0,在通用计算机指令系统的二地址指令中，操作数的物理位置可安排在____。 A. 两个数据寄存器 B. 一个主存单元和一个数据寄存器 C. 两个主存单元中 D. 以上几项均可 答案：,,B,,B,llama-7b-hf,972,970,2,0.0,0.13
35,0,访问相联存储器时，____。 A. 根据内容，不需要地址 B. 不根据内容，只需要地址 C. 既要内容，又要地址 D. 不要内容也不要地址 答案：,,B,,B,llama-7b-hf,954,952,2,0.0,0.12
36,0,用存储容量为16K×1位的存储器芯片来组成一个64K×8位的存储器，则在字方向和位方向分别扩展了____倍。 A. 4、2 B. 8、4 C. 2、4 D. 4、8 答案：,,B,,B,llama-7b-hf,973,971,2,0.0,0.14
37,0,冯·诺依曼计算机的最主要特点是____。 A. 存储程序方式并采用二进制 B. 采用LSI和VLSI电路 C. 有功能强大的操作系统 D. 采用Cache、主存、辅存三级存储结构 答案：,,B,,B,llama-7b-hf,984,982,2,0.0,0.13
38,0,下列不会引起指令流水阻塞的是____。 A. 数据旁路 B. 数据相关 C. 条件转移 D. 资源冲突 答案：,,B,,B,llama-7b-hf,940,938,2,0.0,0.13
39,0,在计算机系统中，表明系统运行状态的部件是____。 A. 程序计数器 B. 指令寄存器 C. 程序状态字 D. 累加寄存器 答案：,,B,,B,llama-7b-hf,944,942,2,0.0,0.13
40,0,将高级语言源程序转换为机器级目标代码文件的程序是____。 A. 汇编程序 B. 链接程序 C. 编译程序 D. 解释程序 答案：,,C,,C,llama-7b-hf,950,948,2,0.0,0.13
41,0,"假设某计算机按字编址，Cache有4个行，Cache和主存之间交换的块为1个字。若Cache的内容初始为空,采用2路组相联映射方式和LRU替换算法。当访问的主存地址依次为0,4,8,2,0,6,8,6,4,8时，命中Cache的次数是____ A. 1 B. 2 C. 3 D. 4 答案：",,B,,B,llama-7b-hf,1019,1017,2,0.0,0.14
42,0,页式存储管理系统不会出现____。 A. 抖动/颠簸 B. 内零头(内碎片) C. 外零头(外碎片) D. 越界访问 答案：,,C,,C,llama-7b-hf,953,951,2,0.0,0.14
43,0,操作数地址为某一寄存器中的内容与位移量之和的寻址方式是____。 A. 相对寻址 B. 基址寻址 C. 变址寻址 D. 以上都有可能 答案：,,B,,B,llama-7b-hf,955,953,2,0.0,0.14
44,0,某32位微型机地址码为22位，使用256K×16位的SRAM芯片组成其存储系统，下列译码器中最合适的是____。 A. 3-8译码器 B. 4-16译码器 C. 5-32译码器 D. 6-64译码器 答案：,,B,,B,llama-7b-hf,992,990,2,0.0,0.13
45,0,在计数器定时查询方式下，正确的描述是____。 A. 总线设备的优先级可变 B. 越靠近控制器的设备，优先级越高 C. 各设备的优先级相等 D. 对硬件电路故障敏感 答案：,,B,,B,llama-7b-hf,997,995,2,0.0,0.14
