id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,某企业发生一起火灾事故，导致3人死亡，10人轻伤，则该起火灾为____火灾。 A. 一般 B. 较大 C. 重大 D. 特别重大 答案：,,C,,C,llama-7b-hf,954,952,2,0.0,0.12
1,0,下列不属于歌舞娱乐放映游艺场所的是____。 A. 歌厅、舞厅、录像厅 B. 网吧 C. 电影院和剧场的观众厅 D. 电子游艺厅 答案：,,C,,C,llama-7b-hf,960,958,2,0.0,0.13
2,0,关于建筑的燃烧性能的说法不正确的是____。 A. 建筑材料及制品的燃烧性能等级分为A、B1、B2、B3 B. 建筑构件的燃烧性能分为A、B1、B2 C. 经阻燃处理后的木材、塑料、水泥、刨花板、板条抹灰墙等按其燃烧性能属于不燃性构件 D. 关于平板状建筑材料及制品的燃烧性能等级国家标准与国外(欧盟)的对应关系为A对应A1、A2；B1对应B、C；B2对应D、E；B3对应F 答案：,,D,,D,llama-7b-hf,1121,1119,2,0.0,0.17
3,0,下列不属于灭火器维修中再充装要求的是____。 A. ABC干粉、BC干粉充装设备分别独立设置，充装场地完全分隔开 B. 再充装所使用的灭火剂采用原生产企业提供、推荐的相同型号规格的灭火剂产品 C. 可再充装型贮压式灭火器按照其灭火器铭牌上所规定的充装压力要求进行再充装 D. 确保防尘盖在灭火剂喷出时能够自行脱落或者击碎 答案：,,D,,D,llama-7b-hf,1119,1117,2,0.0,0.17
4,0,某企业消防专职人员张某在对自动喷水灭火系统湿式报警阀检测时，发现开启测试阀，消防水泵不能正常启动。张某应采取的处理方法不包括____。 A. 将压力开关内的调压螺母调整到规定值 B. 将控制模式设定为“自动”状态 C. 关紧排水控制阀门 D. 逐一检查控制模块，采用其他方式启动消防水泵，核定问题模块，并予以更换 答案：,,D,,D,llama-7b-hf,1098,1096,2,0.0,0.15
5,0,高层民用建筑的消防车回车场不小于____。 A. 10.0m×10.0m B. 12.0m×12.0m C. 15.0m×15.0m D. 20.0m×20.0m 答案：,,C,,C,llama-7b-hf,957,955,2,0.0,0.14
6,0,某市新建的一座大型综合楼，需要在里面安装一些消防设施。在安装消防应急指示灯时，不符合消防应急标志灯具安装要求的是____。 A. 低位安装在疏散走道及其转角处时，标志表面应与墙面平行 B. 安装在地面上时，灯具的所有金属构件应采用耐腐蚀构件或做防腐处理 C. 安装在地面上时，电源连接和控制线连接应采用密封胶密封，与地面高度差不宜大于5mm D. 在顶部安装时，尽量不要贴顶安装，灯具上边与顶棚距离宜大于200mm 答案：,,D,,D,llama-7b-hf,1157,1155,2,0.0,0.18
7,0,下列不属于建筑火灾的原因的是____。 A. 电气火灾 B. 雷击 C. 吸烟 D. 地震 答案：,,C,,C,llama-7b-hf,927,925,2,0.0,0.14
8,0,对某区域进行火灾风险评估，划分一级评估指标，包括火灾危险源、城市基础信息、消防力量、火灾预警和社会面防控能力。下列不属于消防力量的是____。 A. 消防车道 B. 消防水源 C. 人口密度 D. 消防装备 答案：,,B,,B,llama-7b-hf,1023,1021,2,0.0,0.14
9,0,下列有关消防给水系统中，水泵机组的安装要求正确的是____。 A. 水泵机组基础的平面尺寸，无隔振安装应较水泵机组底座四周各宽出100～150mm B. 水泵机组基础的顶面标高，无隔振安装时应高出泵房地面不小于0.05m C. 泵房内管道管外底距地面的距离，当管径DN≤150mm时，不应小于0.25m D. 水泵吸水管水平段偏心大小头应采用管顶斜接 答案：,,C,,C,llama-7b-hf,1100,1098,2,0.0,0.16
10,0,火力发电厂用于人员疏散的应急照明，在主要通道地面上的最低照度值不应低于____lx。 A. 0.8 B. 1 C. 1.2 D. 1.5 答案：,,D,,D,llama-7b-hf,950,948,2,0.0,0.13
11,0,消防应急广播扬声器和火灾警报器宜在报警区域内均匀安装，安装应牢固可靠，表面不应有破损。火灾光警报装置应安装在安全出口附近明显处，底边距地(楼)面高度在____m以上。 A. 1.6 B. 1.8 C. 2 D. 2.2 答案：,,B,,B,llama-7b-hf,1027,1025,2,0.0,0.16
12,0,检查防火墙时，测量防火墙两侧的门、窗、洞口之间最近边缘水平距离，距离测量值的允许负偏差不得大于规定值的____。 A. 3% B. 4% C. 5% D. 6% 答案：,,C,,C,llama-7b-hf,982,980,2,0.0,0.13
13,0,当中庭相连通的建筑面积之和大于一个防火分区的最大允许建筑面积时，与中庭相连通的门应采用____防火门。 A. 甲级 B. 乙级 C. 丙级 D. 丁级 答案：,,C,,C,llama-7b-hf,975,973,2,0.0,0.14
14,0,某三层农机装备车间内每层分别设置一个中间仓库，中间仓库储存丙、丁、戊类物品，下列关于中间仓库的设置要求，不满足规范要求的是____。 A. 储存火灾危险性为丙类的中间仓库设置在第三层 B. 丙类中间仓库应采用耐火极限不低于2.50h的防火隔墙和1.50h的楼板与其他部位分隔 C. 丁类中间仓库应采用耐火极限不低于2.00h的防火隔墙和1.00h的楼板与其他部位分隔 D. 戊类中间仓库应采用耐火极限不低于2.50h的防火隔墙和1.00h的楼板与其他部位分隔 答案：,,C,,C,llama-7b-hf,1211,1209,2,0.0,0.18
15,0,防烟排烟系统非金属风管的制作和连接要求，法兰螺栓孔的间距不得____。 A. 大于120mm B. 大于130mm C. 大于150mm D. 大于180mm 答案：,,C,,C,llama-7b-hf,961,959,2,0.0,0.14
16,0,某栋大楼共20层，在进行防火设计时配备了泡沫灭系统。下列不属于泡沫灭火系统的灭火机理的是____。 A. 隔氧窒息作用 B. 辐射热阻隔作用 C. 化学抑制作用 D. 吸热冷却作用 答案：,,C,,C,llama-7b-hf,1008,1006,2,0.0,0.13
17,0,某储罐区有5个固定顶轻柴油储罐，单罐容积2000m^3，设置了固定式低倍数泡沫灭火系统。当采用液上喷射泡沫灭火系统时，该泡沫灭火系统的连续供给时间不应少于____min。 A. 20 B. 30 C. 40 D. 50 答案：,,C,,C,llama-7b-hf,1033,1031,2,0.0,0.16
18,0,某住宅楼高30m，耐火等级为一级，现需在其旁边建造一座综合办公楼，耐火等级为一级。关于两建筑之间的防火间距，以下说法错误的是____。 A. 两座建筑中较低一座建筑的外墙为防火墙，屋顶的耐火极限为1.00h且屋顶无天窗时，防火间距不应小于3.5m B. 若拟建造办公综合楼高度为25m，则两建筑之间防火间距不应小于13m C. 若拟建造办公综合楼高度为20m，则两建筑之间防火间距不应小于9m D. 两座建筑高度相同时，相邻任一侧外墙为防火墙，屋顶的耐火极限不低于1.00h时，其防火间距不限 答案：,,B,,B,llama-7b-hf,1230,1228,2,0.0,0.17
19,0,施工现场的临时用房组合建造时，两种不同使用功能的临时用房之间应采用不燃材料进行防火分隔，其防火要求应以等级要求较高的临时用房为准。下列施工现场的临时用房可组合建造的有____。 A. 宿舍与厨房操作间 B. 办公用房与厨房操作间 C. 宿舍与锅炉房 D. 餐厅与办公用房 答案：,,C,,C,llama-7b-hf,1051,1049,2,0.0,0.16
