id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,小麦粒色受独立遗传的三对基因A/a、B/b、C/c-控制．A、B和C决定红色，每个基因对粒色增加效应相同且具叠加性，a、b和c决定白色．将粒色最浅和最深的植株杂交得到F1．Fl的自交后代中，与基因型为Aabbcc的个体表现型相同的概率是____ A. $1/64$ B. $3/32$ C. $15/64$ D. $5/16$ 答案：,,C,,C,llama-7b-hf,1041,1039,2,0.0,0.16
1,0,通常情况下，分子式为C63H103O45N17S2的化合物最可能属于：____ A. 多肽 B. 氨基酸 C. 核苷酸 D. 肝糖元 答案：,,C,,C,llama-7b-hf,928,926,2,0.0,0.13
2,0,下列关于人类性别决定与伴性遗传的叙述，正确的是____ A. 生殖细胞中只表达性染色体上的基因 B. 性染色体上的基因都与性别决定有关 C. 性染色体上的基因都伴随性染色体遗传 D. 精母细胞和次级精母细胞中一定都含有X染色体 答案：,,C,,C,llama-7b-hf,1011,1009,2,0.0,0.14
3,0,"假说一演绎法是现代科学研究中常用的一种科学方法，其基本思路是发现问题→提出假说→演绎推理→实验检验→得出结论。下列属于孟德尔在发现基因分离定律时的“演绎推理”内容的是____ A. 若遗传因子位于染色体上,则遗传因子在体细胞中成对存在 B. 由F2出现了“3：1”的表现型比，推测生物体产生配子时，成对遗传因子彼此分离 C. 若F1产生配子时成对遗传因子分离，则F2中三种基因型个体比接近1:2：1 D. 若F1产生配子时成对遗传因子分离,则测交后代会出现接近1：1的两种性状比 答案：",,C,,C,llama-7b-hf,1149,1147,2,0.0,0.18
4,0,下列不能解除植物顶端优势的措施是____ A. 去掉顶芽 B. 在去掉顶芽的断口处放一块含有生长素的羊毛脂 C. 在去掉顶芽的断口处放一块含有细胞分裂素的羊毛脂 D. 在去掉顶芽的断口处放上琼脂小块 答案：,,C,,C,llama-7b-hf,1013,1011,2,0.0,0.14
5,0,某种基因型为Aa的高等植物产生的雌雄配子的数目是____ A. 雄配子很多，雌配子很少 B. 雌配子：雄配子=1：3 C. A雌配子：a雄配子=1：1 D. 雌配子：雄配子=1：1 答案：,,C,,C,llama-7b-hf,953,951,2,0.0,0.14
6,0,"RNA聚合酶能以一条DNA链或RNA链为模板催化RNA的合成，因为在细胞内遗传信息转录与RNA有关,所以也称转录酶。下列有关叙述中错误的是____ A. RNA聚合酶催化RNA合成期间，一定有腺嘌呤与胸腺嘧啶的配对现象 B. DNA的复制和基因的转录，DNA双链都要先解旋,前者需要用到解旋酶 C. 转录过程消耗的原料是核糖核苷酸，而逆转录消耗脱氧核苷酸 D. 肌细胞内有蛋白质的更新，其细胞核内应存在有活性的RNA聚合酶 答案：",,B,,B,llama-7b-hf,1142,1140,2,0.0,0.16
7,0,下列关于隔离的叙述不正确的是____ A. 阻止了种群的基因交流 B. 对所有的物种来说，地理隔离必然导致生殖隔离 C. 东北虎与华南虎之间存在地理隔离 D. 不同的物种之间必然存在着生殖隔离 答案：,,C,,C,llama-7b-hf,978,976,2,0.0,0.13
8,0,肥胖症周大会公布了肥胖症新药司美格鲁肽( Wegovy)。数据显示，接受Wegovy治疗的成人患者，在两年研究期间实现了显著和持续的体重减轻。下列叙述错误的是____ A. Wegovy只能注射不能口服 B. 组成Wegovy的基本单位在人体中有21种 C. Wegovy彻底水解后能和双缩脲试剂发生紫色反应 D. Wegovy是一种信息分子，不能直接参与细胞的生命活动 答案：,,C,,C,llama-7b-hf,1059,1057,2,0.0,0.16
9,0,红细胞吸收无机盐和葡萄糖的共同点是____ A. 都可以从低浓度到高浓度一边 B. 都需要供给ATP C. 都需要载体协助 D. 既需要载体协助又需要消耗能量 答案：,,C,,C,llama-7b-hf,954,952,2,0.0,0.12
10,0,减数分裂过程中，染色体数目减半发生在____ A. 初级精母细胞形成时 B. 次级精母细胞形成时 C. 精子细胞形成时 D. 精子形成时 答案：,,B,,B,llama-7b-hf,946,944,2,0.0,0.12
11,0,下列名称中，通常属于活细胞的一组是____?①血小板   ②植物的导管   ③木纤维     ④花粉   ⑤抗体     ⑥胃蛋白酶     ⑦大肠杆菌 A. ①②③ B. ④⑤⑥ C. ②④⑥ D. ①④⑦ 答案：,,B,,B,llama-7b-hf,998,996,2,0.0,0.13
12,0,沙漠中旱生植物细胞中含量最多的物质是____ A. 蛋白质 B. 糖类 C. 脂肪 D. 水 答案：,,B,,B,llama-7b-hf,914,912,2,0.0,0.12
13,0,细菌、真菌等营腐生生活的微生物，在生态系统中占有重要地位，主要是因为它们____ A. 数量极多，分布广 B. 是食物链中的一个环节 C. 分解者的营养级别最高 D. 能把有机物分解成无机物，归还到无机环境中 答案：,,C,,C,llama-7b-hf,984,982,2,0.0,0.13
14,0,由于实验材料用品所限，有时候需要设法替代，下列各项中正确的是____ A. 做低温诱导染色体数目变化的实验时，可用龙胆紫代替改良苯酚品红染液 B. 在观察植物细胞的有丝分裂实验时，用洋葱表皮代替根尖 C. 制备细胞膜的实验用新鲜鸡血作为替代材料 D. 诱导植物细胞染色体数目加倍必须使用一定浓度的秋水仙素处理 答案：,,C,,C,llama-7b-hf,1094,1092,2,0.0,0.16
