id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,巴黎公社为国际社会主义运动提供的最主要的经验是：____ A. 同强大的敌人勇于斗争 B. 联合农民建立工农联盟 C. 用暴力手段推翻资产阶级统治，建立无产阶级专政 D. 清除败类，纯洁革命队伍 答案：,,C,,C,llama-7b-hf,1055,1053,2,0.0,0.16
1,0,苏俄国内革命战争基本结束后，苏俄并没有立即结束战时共产主义政策的主观原因是____ A. 苏俄一些领导人曾希望借此直接向社会主义过渡 B. 严重的经济困难 C. 余粮收集制减轻了经济困难 D. 争取逐步实现向社会主义过渡 答案：,,B,,B,llama-7b-hf,1080,1078,2,0.0,0.15
2,0,公元前216年，秦始皇下诏“使黔首（百姓）自实田（上报土地数目）”，这一法令表明秦朝____ A. 准备在全国实行土地国有制度 B. 土地私有制度已经在全国确立 C. 采取抑制土地兼并的经济政策 D. 加强了对边远地区的经济控制 答案：,,B,,B,llama-7b-hf,1052,1050,2,0.0,0.15
3,0,下列表述，与唐代的社会生活相符的是____ A. 瓷器开始成为人们日常生活用品 B. 棉布已成为广大民众的主要衣料 C. 城郭和乡村人口稠密、贸易繁荣 D. 民俗画和木刻版画深受民众喜爱 答案：,,B,,B,llama-7b-hf,1029,1027,2,0.0,0.16
4,0,清代初年，正常的海外贸易陷入停顿的主要原因是____ A. 政府推行闭关锁国政策 B. 统治者实行重农抑商政策 C. 中国商品缺乏国际竞争力 D. 西方列强疯狂的殖民掠夺 答案：,,B,,B,llama-7b-hf,1035,1033,2,0.0,0.16
5,0,中共“十五大”确定政治体制改革的重点是____ A. 依德治国 B. 基层民主选举 C. 依法治国 D. 扩大企业自主权 答案：,,B,,B,llama-7b-hf,980,978,2,0.0,0.13
6,0,"《商君书·农战》中说：""言谈游士事君可尊身也、商贾可富家也、技艺足以口也。民见此三者之便且利也，则必去农……国之所兴者农战也……农者寡而游食者众。众，则农者殆；农者殆，则土荒。""由此可见____ A. 重农抑商是保护小农经济的权衡之策 B. 重农抑商政策是商鞅变法的核心措施 C. 小农经济在经济结构中占据主导地位 D. 农业的发展势必阻碍商品经济的发展 答案：",,C,,C,llama-7b-hf,1177,1175,2,0.0,0.18
7,0,据记载，到1866年，上海“夷场”“洋楼耸峙，高入云霄，八面窗根，玻璃五色，铁栏错瓦，玉扇铜环”。这表明当时上海____ A. 中外融合民居出现 B. 民众生活水平的提高 C. 西方建筑样式的传入 D. 西方殖民势力的强大 答案：,,C,,C,llama-7b-hf,1055,1053,2,0.0,0.16
8,0,有学者指出：从春秋末年起，连同整个战国时代，“农业生产有着飞跃的发展”，“生产量有很大的提高。”这主要是因为____ A. 废除了井田制度 B. 农具有了革命性的进步 C. 统治者重视农业生产 D. 高产农作物品种被引进 答案：,,C,,C,llama-7b-hf,1052,1050,2,0.0,0.15
9,0,唐朝时，从下列哪一个港口出发可到达波斯湾____ A. 扬州 B. 登州 C. 广州 D. 明州 答案：,,C,,C,llama-7b-hf,958,956,2,0.0,0.13
10,0,列宁在评价恩格斯的无私精神时指出：“他为他天才的朋友树立了一块永不磨灭的纪念碑。无意之间，他的名字也被镌刻在了上面。”你认为这块永不磨灭的纪念碑是____ A. 《神圣家族》 B. 《德意志意识形态》 C. 《共产党宣言》 D. 《资本论》 答案：,,C,,C,llama-7b-hf,1082,1080,2,0.0,0.15
11,0,当今世界最成功的区域一体化组织非欧盟莫属，她起步于煤钢共同体的建立，发展于欧洲经济共同体，再到欧洲联盟，这说明欧洲联盟____ A. 欧洲联盟是当今最重要的国际组织 B. 欧洲联盟既是经济组织又是政治组织 C. 欧洲联盟是经济区域集团化的起点 D. 欧洲联盟的成立彻底改变了世界格局 答案：,,D,,D,llama-7b-hf,1115,1113,2,0.0,0.17
12,0,1921年，有学者对全国631位大学生进行婚姻调查问卷显示，在被调查的184位已婚者中，自定婚姻的只有6人。在对代订婚姻者作出表态的145人中，愿代订的为56人，不愿代订的则为89人。据此可知当时____ A. 婚姻礼俗开始删繁就简 B. 部分青年学生主张婚姻自主 C. 恋爱自由婚姻自主成为时尚 D. 辛亥革命移风易俗的成效显著 答案：,,D,,D,llama-7b-hf,1133,1131,2,0.0,0.17
13,0,下列文献中，克伦威尔曾参与起草工作的是____ A. 《大宪章》 B. 《大抗议书》 C. 《权利法案》 D. 《人权宣言》 答案：,,B,,B,llama-7b-hf,988,986,2,0.0,0.13
14,0,《史记》.《汉书》凡提及汉朝制度，不管是从政治经济，还是文化学术，必首标汉承秦制，如“汉因循秦制而未改”，“汉承秦制”，“汉初因秦法”，诸如此类，不胜枚举。这说明秦汉时期____ A. 官方意识形态一致 B. 政府注重强化思想控制 C. 社会演进趋势相同 D. 统一多民族国家日益发展 答案：,,C,,C,llama-7b-hf,1090,1088,2,0.0,0.15
15,0,1986年《单一欧洲文件》执行后，欧共体立法程序中超国家权限大增。执委会主席德洛尔于1988年7月在欧洲议会上宣布，10年后欧共体各国80%的经济、财政和社会立法将出自欧共体。此说法遭到了拥护政府间合作道路的各派人士的猛烈抨击。这一事件说明____ A. 欧洲一体化存在分歧 B. 执委会主导了欧洲一体化 C. 欧共体矛盾难以调和 D. 欧共体发展损害国家利益 答案：,,D,,D,llama-7b-hf,1160,1158,2,0.0,0.16
16,0,"哥伦布在航海日记中记载了巴哈马群岛""全年都可种植和收获玉米以及其他作物。""历史学家艾尔文·约瑟非也说：""今日世界食物总量中几乎一半的作物是美洲印第安人种植的，而白人只是在1542年以后才知道它们。""由此可知，新航路的开辟____ A. 促进了全球物种的交换 B. 改变了商业的经营方式 C. 增加了全球商品的种类 D. 造成对美洲资源的掠夺 答案：",,B,,B,llama-7b-hf,1120,1118,2,0.0,0.16
17,0,"亚历山大二世改革以前，俄国面临着严重危机，主要表现在____   ①克里木战争失败				②农奴制的存在严重阻碍了工业的发展   ③“十二月党人”起义			④各阶层强烈要求废除农奴制 A. ①③ B. ①②③ C. ①②③④ D. ①③④ 答案：",,C,,C,llama-7b-hf,1103,1101,2,0.0,0.17
18,0,中国古代瓷器生产技术高超，咏“瓷”诗句众多。如：“九秋风露越窑开，夺得千峰翠色来”、“大邑烧瓷轻且坚，扣如哀玉锦城传。君家白碗胜霜雪，急送茅斋也可怜。”诗中的“越窑”和“大邑”分别以生产什么瓷器出名____ A. 青瓷、粉彩瓷器 B. 粉彩瓷器、白瓷 C. 青瓷、白瓷 D. 白瓷、青瓷 答案：,,C,,C,llama-7b-hf,1145,1143,2,0.0,0.17
19,0,英国整个政治制度的基础是：____ A. 责任内阁制 B. 君主立宪制 C. 代议制民主 D. 新兴的工业资产阶级 答案：,,B,,B,llama-7b-hf,981,979,2,0.0,0.14
20,0,"""一五计划""中，工业规模和农业增产是陈云关注的两件大事，并且他认为搞合作化是实现农业增产的有效途径，可以使农业平均产量提高15%到30%，花钱少、收效快，国家应给予更多的支持。这体现出我国的""一五计划""____ A. 优先发展重工业的战略考量 B. 发展生产力和变革生产关系并举 C. 工农业生产并举的发展目标 D. 重点关注了农业增产的核心地位 答案：",,B,,B,llama-7b-hf,1145,1143,2,0.0,0.17
21,0,标志着科学社会主义与俄国工人运动开始结合的事件是____ A. 建立马克思主义小组 B. 列宁创立彼得堡工人阶级解放斗争协会 C. 创办《火星报》 D. 成立布尔什维克党 答案：,,B,,B,llama-7b-hf,1019,1017,2,0.0,0.14
22,0,战国时期，秦国的农业生产在七国中发展最快，其主要原因是____ A. 使用了铁器和推广了农耕 B. 确定了土地私有制 C. 推行重农抑商的政策 D. 修筑了郑国渠和都江堰等水利工程 答案：,,C,,C,llama-7b-hf,1030,1028,2,0.0,0.15
23,0,历史学家指出，“在罗马法中很普遍的一个观点是：虽然奴隶制度是一种合法的社会制度，但它是和‘本性’相矛盾的”。材料中的“本性”指的是____ A. 自然法精神 B. 自然的人性 C. 公民的参政意识 D. 理性精神 答案：,,B,,B,llama-7b-hf,1044,1042,2,0.0,0.15
24,0,“市”突破原先时间和空间的限制是在____ A. 秦朝 B. 六朝 C. 唐朝 D. 宋朝 答案：,,B,,B,llama-7b-hf,957,955,2,0.0,0.14
25,0,改革开放后，我国农村经济得到全面振兴的主要原因是____ A. 坚持把农业放在首位 B. 大力发展乡镇企业 C. 大力发展高新农业技术 D. 实行家庭联产承包责任制 答案：,,B,,B,llama-7b-hf,1014,1012,2,0.0,0.13
26,0,1979年3月，国务院第一次提出了恢复和发展个体工商业的问题。1979年底，中国出现了31万个体工商户。到1989年底，全国私营企业户数就达到9万，从业人员185万。这一变化说明____ A. 我国经济体制发生变动 B. 国有企业改革全面展开 C. 市场经济体制逐步确立 D. 农村改革带动城市改革 答案：,,C,,C,llama-7b-hf,1085,1083,2,0.0,0.17
27,0,下列事件促进欧洲民族意识的高涨和民族国家发展的是____ A. 新航路开辟 B. 文艺复兴 C. 宗教改革 D. 启蒙运动 答案：,,B,,B,llama-7b-hf,983,981,2,0.0,0.14
28,0,春秋战国时期文学作品中的恋爱女性往往体现了率真与自然；至汉代爱情文学中的女性便有了许多非爱情因素；宋代涉及爱情的文学作品比例大为减少；明清作品对女性守节、殉夫则大为歌颂。以上现象说明了____ A. 封建专制主义的逐渐加强 B. 儒家伦理观念强化压抑人性 C. 家庭伦理政治化色彩增强 D. 宋代爱情题材不受市场青睐 答案：,,D,,D,llama-7b-hf,1136,1134,2,0.0,0.16
29,0,中国古代历史上出现的“匠户”____ A. 其子孙可以脱籍改业 B. 没有专门的户籍 C. 方便了统治者的征调 D. 有一定人身自由 答案：,,B,,B,llama-7b-hf,986,984,2,0.0,0.13
30,0,一战期间，张骞创办的大生纱厂发展迅速，到1921年就获得白银一千六百多万两，其中有三分之二的是在大战期间获得的.这说明影响其发展的最主要因素是____ A. 国内的市场 B. 封建主义 C. 帝国主义 D. 官僚资本主义 答案：,,B,,B,llama-7b-hf,1038,1036,2,0.0,0.15
31,0,据统计，明清江南棉纺织业市镇有52个，丝织市镇有25个，米粮专业市镇13个；长江中游湖北、湖南、江西三省陶瓷业市镇有25个，造纸业市镇有20个，纺织丝市镇44个。这说明____ A. 资本主义萌芽已经出现 B. 地区性分工日益明显 C. 政府鼓励发展商品经济 D. 传统农业进一步衰落 答案：,,B,,B,llama-7b-hf,1094,1092,2,0.0,0.16
32,0,戊戌变法和辛亥革命说明资产阶级的活动有改良转到革命，促成这一转变的主要原因是____ A. 民族资本主义的发展 B. 民族危机日益加重 C. 民主革命思想的广泛传播 D. 清政府自身改革的失败 答案：,,B,,B,llama-7b-hf,1036,1034,2,0.0,0.15
33,0,关于西周分封制的表述，最准确的一项是____ A. 反映中央对地方的统辖关系 B. 体现统治者对奴隶阶层的剥削 C. 反映了诸侯与周王的经济关系 D. 体现了奴隶主阶层的内部关系 答案：,,B,,B,llama-7b-hf,1033,1031,2,0.0,0.16
34,0,发达国家和发展中国家之间逐渐脱离了 “北方技术”和“南方劳动”的模式，开始形成发达国家主要发展高精尖的技术 密集型工业、新兴工业国家发展一般技术和资本密集型工业、一般发展中国家主要发展劳动密集型工业的阶梯状结构。这主要说明____ A. 西方国家扩大资本输出 B. 各国经济的协作和依赖的加强 C. 国际分工已经初步形成 D. 公正合理的国际新秩序的建立 答案：,,D,,D,llama-7b-hf,1136,1134,2,0.0,0.16
