id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,理性认识的三种形式是____ A. 感觉、知觉、表象 B. 概念、判断、推理 C. 实践、认识、再实践 D. 抽象、具体、再抽象 答案：,,B,,B,llama-7b-hf,802,800,2,0.0,0.1
1,0,马克思主义哲学最主要的特点表现在____ A. 实践性 B. 科学性 C. 革命性 D. 开放性 答案：,,C,,C,llama-7b-hf,766,764,2,0.0,0.09
2,0,“一个地区的发展会产生全国效益”强调的是____ A. 整体和部分不可分割 B. 整体和部分有严格的界限 C. 整体的性能状态及其变化会影响部分 D. 整体的性能状态及其变化会影响整体 答案：,,C,,C,llama-7b-hf,828,826,2,0.0,0.11
3,0,哲学是____ A. 关于自然界和社会发展一般规律的科学 B. 科学的世界观和方法论 C. 系统化和理论化的世界观 D. 革命性和科学性相统一的世界观 答案：,,C,,C,llama-7b-hf,807,805,2,0.0,0.11
4,0,“观念的东西不外是移入人的头脑并在人脑中改造过了的物质的东西。”这个观点是____的观点 A. 主观唯心主义 B. 客观唯心主义 C. 形而上学唯物主义 D. 辩证唯物主义 答案：,,C,,C,llama-7b-hf,828,826,2,0.0,0.11
5,0,“苍蝇不叮没缝的蛋”这一说法直接表达的哲学思想是____ A. 内因是变化的根据，外因是变化的条件，外因通过内因起作用 B. 矛盾是事物发展的动力 C. 事物的运动是外力推动的结果 D. 运动是物质的根本属性 答案：,,B,,B,llama-7b-hf,836,834,2,0.0,0.11
6,0,社会革命的最深刻的根源在于____ A. 人口太多而造成贫穷落后 B. 国际阶级斗争形势的影响 C. 生产力和生产关系之间的矛盾 D. 人民群众觉悟及其积极性 答案：,,C,,C,llama-7b-hf,833,831,2,0.0,0.12
7,0,真理和谬误的区别在于____ A. 是否反映了客观实际 B. 是否符合人民群众的意志和愿望 C. 是否符合无产阶级的根本利益 D. 是否正确反映了客观事物及其发展规律 答案：,,C,,C,llama-7b-hf,827,825,2,0.0,0.11
8,0,把感觉、经验当成第一性的观点是____ A. 唯物主义的观点 B. 主观唯心主义的观点 C. 唯物主义经验论观点 D. 客观唯心主义的观点 答案：,,B,,B,llama-7b-hf,815,813,2,0.0,0.11
9,0,哲学的生命力从根本上说在于____ A. 适应时代的需要 B. 满足统治阶级的需要 C. 反映劳苦大众的需要 D. 适应思想创新的需要 答案：,,B,,B,llama-7b-hf,799,797,2,0.0,0.11
10,0,一个时期以来，一些地区和单位，为表明政绩，弄虚作假和浮夸风严重，必须坚决制止。因为它违背了____ A. 规律是客观的 B. 矛盾是普遍的 C. 一切从实际出发 D. 用联系的观点看问题 答案：,,C,,C,llama-7b-hf,851,849,2,0.0,0.12
11,0,事物发展的源泉在于____ A. 人的主观能动性 B. 事物之间的相互作用 C. 事物的内部矛盾 D. 外力的推动 答案：,,B,,B,llama-7b-hf,779,777,2,0.0,0.11
12,0,真理是____ A. 经过经验检验的认识 B. 符合逻辑、清楚明白的主观认识 C. 指一切具有意义的认识 D. 同客观世界相符合的认识 答案：,,A,,A,llama-7b-hf,805,803,2,0.0,0.11
13,0,否定之否定规律侧重于揭示____ A. 事物发展的动力 B. 事物联系的根本内容 C. 事物发展的状态 D. 事物发展的方向和道路 答案：,,C,,C,llama-7b-hf,785,783,2,0.0,0.11
14,0,技术社会形态是____ A. 以生产力和技术发展水平以及与此相适应的产业结构划分 B. 以生产关系性质划分 C. 以生产力和生产关系统一的程度划分 D. 以生产资料所有制性质划分 答案：,,A,,A,llama-7b-hf,833,831,2,0.0,0.12
15,0,区分新、旧事物的根本标志在于____ A. 出现时间的先后 B. 是否受到大多数人的拥护 C. 形式上是否新奇 D. 是否符合事物发展的必然趋势 答案：,,C,,C,llama-7b-hf,796,794,2,0.0,0.11
16,0,认为人们的思想动机、主观意志是社会发展的根本原因，这种观点属于____ A. 庸俗唯物主义 B. 唯理论 C. 经验论 D. 唯意志论 答案：,,C,,C,llama-7b-hf,801,799,2,0.0,0.11
17,0,意识的客观性是指____ A. 意识是人脑的机能和属性 B. 意识同客观世界的一致性 C. 意识的内容源于客观世界 D. 意识的形式源于客观世界 答案：,,B,,B,llama-7b-hf,806,804,2,0.0,0.11
18,0,对不可知论最有力的驳斥是____ A. 客观真理 B. 客观事实 C. 客观规律 D. 社会实践 答案：,,B,,B,llama-7b-hf,778,776,2,0.0,0.1
19,0,党的独立自主、自力更生为主和争取外援为辅的方针的哲学依据是____辩证关系的原理 A. 矛盾普遍性和特殊性 B. 主要矛盾和次要矛盾 C. 同一性和斗争蚀 D. 内因和外因 答案：,,B,,B,llama-7b-hf,842,840,2,0.0,0.11
20,0,一切唯心主义都主张____ A. 世界是不可认识的 B. 人在神的启示下可以认识世界 C. 世界万物不过是“感觉的复合” D. 认识归根结底来源于精神 答案：,,B,,B,llama-7b-hf,807,805,2,0.0,0.11
21,0,人类社会由低级到高级的发展，归根结底是由____ A. 政治原因引起的 B. 经济原因引起的 C. 精神原因引起的 D. 科学技术水平引起的 答案：,,B,,B,llama-7b-hf,798,796,2,0.0,0.11
22,0,假象是指____ A. 正面地直接地表现本质的现象 B. 从反面歪曲地表面本质的现象 C. 不存在于客观事物之中的现象 D. 和本质没有同一性的现象 答案：,,B,,B,llama-7b-hf,798,796,2,0.0,0.11
