id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,“大将筹边尚未还，湖湘子弟满天山。新栽杨柳三千里，引得春风度玉关。”这首诗颂扬了一位清代名将率军收复新疆、治理边疆的业绩。这位名将是____。 A. 林则徐 B. 左宗棠 C. 邓世昌 D. 丁汝昌 答案：,,C,,C,llama-7b-hf,788,786,2,0.0,0.11
1,0,第一次次世纪大战前，始终奉行所谓“光荣孤立”政策的国家是____ A. 德国 B. 英国 C. 俄国 D. 法国 答案：,,A,,A,llama-7b-hf,723,721,2,0.0,0.1
2,0,苏俄实行新经济政策，开始于____。 A. 1917年 B. 1919年 C. 1921年 D. 1925年 答案：,,C,,C,llama-7b-hf,711,709,2,0.0,0.1
3,0,“打一场禁毒的人民战争”是中国政府在扫除毒品中的响亮口号。166年前，一位民族英雄在广州已经用行动表达了中国人民禁烟的决心和勇气，他就是____。 A. 左宗棠 B. 林则徐 C. 魏源 D. 邓世昌 答案：,,A,,A,llama-7b-hf,783,781,2,0.0,0.11
4,0,目前，凡·高几乎是“荷兰”的代名词。他是荷兰历史上公认的最杰出的人物，以他命名的艺术馆应景成为荷兰最吸引参观者的地方之一。但凡·高在世时，他的作品却很少有人欣赏，这主要是因为____ A. 没有做大量的宣传 B. 没有名家的推荐 C. 他出身低微 D. 人们尚未了解其作品的艺术价值 答案：,,C,,C,llama-7b-hf,854,852,2,0.0,0.11
5,0,“印第安人”是对哪个地区土著居民的称呼____ A. 印度次大陆 B. 美洲 C. 非洲 D. 大洋洲 答案：,,C,,C,llama-7b-hf,712,710,2,0.0,0.09
6,0,我国是世界上最早培植水稻的国家，下列原始居民中最早种植水稻的是____ A. 半坡原始居民 B. 河姆渡原始居民 C. 红山原始居民 D. 大汶口原始居民 答案：,,C,,C,llama-7b-hf,748,746,2,0.0,0.09
7,0,下列地名属于唐朝时称“天竺”的地方是____。 A. 印度 B. 巴基斯坦 C. 孟加拉 D. 泰国 答案：,,C,,C,llama-7b-hf,707,705,2,0.0,0.1
8,0,北宋兴起的景德镇，后来发展成为著名的____ A. 丝绸之乡 B. 鱼米之乡 C. 瓷都 D. 产茶中心 答案：,,C,,C,llama-7b-hf,715,713,2,0.0,0.1
9,0,历史课上，老师介绍铁路工程师詹天佑（1861—1919年）“从少年时代就赴美留学，学习铁路专业”，他能受到这种教育应得益于____。 A. 洋务运动 B. 辛亥革命 C. 新文化运动 D. 五四运动 答案：,,C,,C,llama-7b-hf,782,780,2,0.0,0.1
10,0,古代中国人确立姓氏后所起的主要作用是____。 A. 明世系，别婚姻 B. 区别人们的生活区域 C. 区别人的民族 D. 区别人的职业 答案：,,C,,C,llama-7b-hf,734,732,2,0.0,0.09
11,0,我国对外开放形成的新格局是____ A. 经济特区——沿海开放城市—沿江开放城市—内地 B. 沿海经济开放区—经济特区—沿江开放区—内地 C. 经济特区—沿海开放城市—沿海经济开放区—内地 D. 经济特区—沿海经济特区—内地—沿江沿边开放 答案：,,C,,C,llama-7b-hf,800,798,2,0.0,0.11
12,0,岳飞在《满江红》中写道：“靖康耻，犹未雪。”其中“靖康耻”发生于____ A. 1115年 B. 1126年 C. 1127年 D. 1140年 答案：,,C,,C,llama-7b-hf,737,735,2,0.0,0.1
13,0,下列现象中，最能体现河姆渡原始居民已经定居生活的是____ A. 打猎 B. 捕鱼 C. 挖掘水井 D. 烧制陶器 答案：,,C,,C,llama-7b-hf,722,720,2,0.0,0.09
14,0,我国第一个奴隶制王朝是____ A. 夏朝 B. 西周 C. 商朝 D. 东周 答案：,,C,,C,llama-7b-hf,692,690,2,0.0,0.09
15,0,氏族公社繁荣时期长江流域的原始居民是____ A. 山顶洞人 B. 半坡原始居民 C. 河姆渡原始居民 D. 大汶口原始居民 答案：,,C,,C,llama-7b-hf,727,725,2,0.0,0.1
