id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,下列不属于动作要素的内容是____ A. 动作轨迹 B. 动作时间 C. 动作速度 D. 动作方向 答案：,,C,,C,llama-7b-hf,633,631,2,0.0,0.08
1,0,VO2max水平高低是下列哪类运动项目取得优异成绩的基础和先决条件之一____ A. 短时间 B. 速度—耐力 C. 大强度 D. 耐力 答案：,,C,,C,llama-7b-hf,667,665,2,0.0,0.09
2,0,运动时参与活动的肌肉血供增加，其重要机理是____ A. 循环血量增加 B. 静脉回流量增加 C. 心输出量增加 D. 各器官血流量的重新分配 答案：,,C,,C,llama-7b-hf,681,679,2,0.0,0.09
3,0,儿童少年肌肉的发育特点是____ A. 含水量较少，收缩力较弱 B. 含蛋白质多，肌肉细嫩 C. 含水量较多，耐力差 D. 含脂肪及无机盐较少，不易疲劳 答案：,,C,,C,llama-7b-hf,712,710,2,0.0,0.09
4,0,一个完整训练过程的出发点是____ A. 运动员的状态诊断 B. 训练目标的建立 C. 运动员选材 D. 运动竞赛 答案：,,C,,C,llama-7b-hf,655,653,2,0.0,0.09
5,0,在球类等对抗性项目中，最为关键的因素是技术的____ A. 实用性 B. 规范性 C. 合理性 D. 经济性 答案：,,C,,C,llama-7b-hf,646,644,2,0.0,0.09
6,0,持续训练法主要用于发展运动员的____ A. 磷酸原供能无氧耐力 B. 糖酵解供能无氧耐力 C. 有氧耐力 D. 无氧耐力 答案：,,C,,C,llama-7b-hf,675,673,2,0.0,0.1
7,0,在哪种情况下采取分组不轮换的教学形式____ A. 场地器材设备条件充足 B. 人数多 C. 人数少 D. 场地器材不足 答案：,,C,,C,llama-7b-hf,656,654,2,0.0,0.09
8,0,决定VO2max的中央机制是____ A. 肺通气量 B. 心室泵血机能 C. 肌红蛋白含量 D. 动静脉氧差 答案：,,C,,C,llama-7b-hf,660,658,2,0.0,0.09
9,0,与血红蛋白含量及其载氧能力密切相关的是____ A. 每搏输出量 B. 最大摄氧量 C. 心肌收缩能力 D. 心输出量 答案：,,C,,C,llama-7b-hf,657,655,2,0.0,0.09
10,0,适合举重和投掷运动员力量练习的最佳负荷是____ A. 5RM负荷 B. 6-10RM负荷 C. 1-15RM负荷 D. 16-20RM负荷 答案：,,C,,C,llama-7b-hf,684,682,2,0.0,0.09
11,0,快肌纤维的生理特征表现为____ A. 兴奋阈低，收缩速度快 B. 收缩速度快，抗疲劳的能力低 C. 收缩速度快，力量小 D. 收缩力量大，能持久 答案：,,C,,C,llama-7b-hf,691,689,2,0.0,0.09
12,0,下列不属于运动员竞技能力表现形式的是____ A. 体能 B. 技能 C. 战术意识 D. 战术能力 答案：,,C,,C,llama-7b-hf,642,640,2,0.0,0.08
13,0,运动员起始状态诊断的内容不包括____ A. 竞技能力诊断 B. 运动年限诊断 C. 运动成绩诊断 D. 训练负荷诊断 答案：,,C,,C,llama-7b-hf,663,661,2,0.0,0.09
14,0,为了检查运动员的训练效果，应组织的训练课是____ A. 身体训练课 B. 技战术训练课 C. 综合训练课 D. 测验、检查课 答案：,,C,,C,llama-7b-hf,687,685,2,0.0,0.09
15,0,在长时间耐力性运动时血液红细胞总数表现为____ A. 明显下降 B. 明显升高 C. 无明显变化 D. 因人而异 答案：,,C,,C,llama-7b-hf,655,653,2,0.0,0.09
16,0,比赛时期训练负荷安排的主要特点是____ A. 负荷强度大而负荷量较小 B. 负荷的强度和量都小 C. 负荷的强度和量都很大 D. 负荷量大而强度小 答案：,,C,,C,llama-7b-hf,698,696,2,0.0,0.09
17,0,血液属于____ A. 细胞内液 B. 细胞外液 C. 组织液 D. 淋巴液 答案：,,B,,B,llama-7b-hf,642,640,2,0.0,0.08
